No,Machine,Point,Temp,Createtime
3273013,2,C,56.1,2023-09-25 09:51:58
3273012,2,C,55.3,2023-09-25 09:51:57
3273011,2,C,55,2023-09-25 09:51:56
3273010,2,C,57.1,2023-09-25 09:51:55
3273009,2,C,57.7,2023-09-25 09:51:54
3273008,2,C,57,2023-09-25 09:51:53
3273007,2,C,55.2,2023-09-25 09:51:52
3273006,2,C,55.6,2023-09-25 09:51:51
3273005,2,C,53.9,2023-09-25 09:51:50
3273004,2,C,55.2,2023-09-25 09:51:49
3273003,2,C,56.3,2023-09-25 09:51:48
3273002,2,C,56.2,2023-09-25 09:51:47
3273001,2,C,56.9,2023-09-25 09:51:46
3273000,2,C,55,2023-09-25 09:51:45
3272999,2,C,56,2023-09-25 09:51:44
3272998,2,C,56.3,2023-09-25 09:51:42
3272997,2,C,58.4,2023-09-25 09:51:41
3272996,2,C,54.6,2023-09-25 09:51:40
3272995,2,C,57.2,2023-09-25 09:51:39
3272994,2,C,58.1,2023-09-25 09:51:38
3272993,2,C,55.2,2023-09-25 09:51:37
3272992,2,C,56.3,2023-09-25 09:51:36
3272991,2,C,56.6,2023-09-25 09:51:35
3272990,2,C,57,2023-09-25 09:51:34
3272989,2,C,57.1,2023-09-25 09:51:33
3272988,2,C,54.6,2023-09-25 09:51:32
3272987,2,C,56.4,2023-09-25 09:51:31
3272986,2,C,56.7,2023-09-25 09:51:30
3272985,2,C,56.2,2023-09-25 09:51:29
3272984,2,C,57.2,2023-09-25 09:51:28
3272983,2,C,57.1,2023-09-25 09:51:27
3272982,2,C,57.5,2023-09-25 09:51:26
3272981,2,C,55.7,2023-09-25 09:51:25
3272980,2,C,55.5,2023-09-25 09:51:24
3272979,2,C,56.3,2023-09-25 09:51:23
3272978,2,C,56.1,2023-09-25 09:51:21
3272977,2,C,56.6,2023-09-25 09:51:20
3272976,2,C,55.2,2023-09-25 09:51:19
3272975,2,C,55.2,2023-09-25 09:51:18
3272974,2,C,54.1,2023-09-25 09:51:17
3272973,2,C,54.9,2023-09-25 09:51:16
3272972,2,C,56.2,2023-09-25 09:51:15
3272971,2,C,56.4,2023-09-25 09:51:14
3272970,2,C,56.5,2023-09-25 09:51:13
3272969,2,C,57.5,2023-09-25 09:51:12
3272968,2,C,53.6,2023-09-25 09:51:11
3272967,2,C,56.4,2023-09-25 09:51:10
3272966,2,C,55.6,2023-09-25 09:51:09
3272965,2,C,55.1,2023-09-25 09:51:08
3272964,2,C,55.6,2023-09-25 09:51:07
3272963,2,C,55.4,2023-09-25 09:51:06
3272962,2,C,54.7,2023-09-25 09:51:05
3272961,2,C,56.1,2023-09-25 09:51:04
3272960,2,C,55.3,2023-09-25 09:51:03
3272959,2,C,55.8,2023-09-25 09:51:02
3272958,2,C,54.7,2023-09-25 09:51:01
3272957,2,C,56.9,2023-09-25 09:51:00
3272956,2,C,55.9,2023-09-25 09:50:58
3272955,2,C,56.3,2023-09-25 09:50:57
3272954,2,C,56.2,2023-09-25 09:50:56
3272953,2,C,55.8,2023-09-25 09:50:55
3272952,2,C,56.2,2023-09-25 09:50:54
3272951,2,C,54.2,2023-09-25 09:50:53
3272950,2,C,56.7,2023-09-25 09:50:52
3272949,2,C,55.3,2023-09-25 09:50:51
3272948,2,C,56.6,2023-09-25 09:50:50
3272947,2,C,57.9,2023-09-25 09:50:49
3272946,2,C,56.3,2023-09-25 09:50:48
3272945,2,C,56.8,2023-09-25 09:50:47
3272944,2,C,57,2023-09-25 09:50:46
3272943,2,C,56,2023-09-25 09:50:45
3272942,2,C,56,2023-09-25 09:50:44
3272941,2,C,56.6,2023-09-25 09:50:43
3272940,2,C,57.4,2023-09-25 09:50:42
3272939,2,C,58.2,2023-09-25 09:50:41
3272938,2,C,55.6,2023-09-25 09:50:40
3272937,2,C,56.1,2023-09-25 09:50:39
3272936,2,C,56.9,2023-09-25 09:50:38
3272935,2,C,56.5,2023-09-25 09:50:36
3272934,2,C,55.9,2023-09-25 09:50:35
3272933,2,C,55.7,2023-09-25 09:50:34
3272932,2,C,56.5,2023-09-25 09:50:33
3272931,2,C,56.9,2023-09-25 09:50:32
3272930,2,C,55.3,2023-09-25 09:50:31
3272929,2,C,56,2023-09-25 09:50:30
3272928,2,C,55.4,2023-09-25 09:50:29
3272927,2,C,57.1,2023-09-25 09:50:28
3272926,2,C,56.2,2023-09-25 09:50:27
3272925,2,C,55.9,2023-09-25 09:50:26
3272924,2,C,55.6,2023-09-25 09:50:25
3272923,2,C,56.9,2023-09-25 09:50:24
3272922,2,C,56.4,2023-09-25 09:50:23
3272921,2,C,55.3,2023-09-25 09:50:22
3272920,2,C,55.2,2023-09-25 09:50:21
3272919,2,C,56.7,2023-09-25 09:50:20
3272918,2,C,54.4,2023-09-25 09:50:19
3272917,2,C,56.1,2023-09-25 09:50:17
3272916,2,C,55.4,2023-09-25 09:50:16
3272915,2,C,58,2023-09-25 09:50:15
3272914,2,C,57,2023-09-25 09:50:14
3272913,2,C,55.8,2023-09-25 09:50:13
3272912,2,C,56.9,2023-09-25 09:50:12
3272911,2,C,57.8,2023-09-25 09:50:11
3272910,2,C,56.3,2023-09-25 09:50:10
3272909,2,C,57.2,2023-09-25 09:50:09
3272908,2,C,55.6,2023-09-25 09:50:08
3272907,2,C,56.5,2023-09-25 09:50:07
3272906,2,C,53.7,2023-09-25 09:50:06
3272905,2,C,55,2023-09-25 09:50:05
3272904,2,C,56.7,2023-09-25 09:50:04
3272903,2,C,56.3,2023-09-25 09:50:03
3272902,2,C,57.1,2023-09-25 09:50:02
3272901,2,C,56.3,2023-09-25 09:50:01
